SequenceName	mcg	gvh	lip	chg	aac	alm1	alm2	Class
LLDP_ECOLI  0.66  0.53  0.48  0.50  0.59  0.66  0.66   im
MOTB_ECOLI  0.30  0.51  0.48  0.50  0.42  0.61  0.34   im
TOLA_ECOLI  0.61  0.47  0.48  0.50  0.00  0.80  0.32   im
TOLQ_ECOLI  0.63  0.75  0.48  0.50  0.64  0.73  0.66   im
EMRB_ECOLI  0.71  0.52  0.48  0.50  0.64  1.00  0.99   im
CRED_ECOLI  0.78  0.33  0.48  0.50  0.57  0.77  0.79  imU
CYDB_ECOLI  0.75  0.37  0.48  0.50  0.64  0.70  0.74  imU
CYOB_ECOLI  0.59  0.29  0.48  0.50  0.64  0.75  0.77  imU
CYOE_ECOLI  0.67  0.37  0.48  0.50  0.54  0.64  0.68  imU
DMSC_ECOLI  0.66  0.48  0.48  0.50  0.54  0.70  0.74  imU
DPPB_ECOLI  0.64  0.46  0.48  0.50  0.48  0.73  0.76  imU
DSBD_ECOLI  0.76  0.71  0.48  0.50  0.50  0.71  0.75  imU
FEPD_ECOLI  0.84  0.49  0.48  0.50  0.55  0.78  0.74  imU
FEPG_ECOLI  0.77  0.55  0.48  0.50  0.51  0.78  0.74  imU
FTSH_ECOLI  0.81  0.44  0.48  0.50  0.42  0.67  0.68  imU
GLTS_ECOLI  0.58  0.60  0.48  0.50  0.59  0.73  0.76  imU
KEFC_ECOLI  0.63  0.42  0.48  0.50  0.48  0.77  0.80  imU
KUP_ECOLI   0.62  0.42  0.48  0.50  0.58  0.79  0.81  imU
MCP1_ECOLI  0.86  0.39  0.48  0.50  0.59  0.89  0.90  imU
MCP2_ECOLI  0.81  0.53  0.48  0.50  0.57  0.87  0.88  imU
MCP4_ECOLI  0.87  0.49  0.48  0.50  0.61  0.76  0.79  imU
MELB_ECOLI  0.47  0.46  0.48  0.50  0.62  0.74  0.77  imU
MOTA_ECOLI  0.76  0.41  0.48  0.50  0.50  0.59  0.62  imU
NUPC_ECOLI  0.70  0.53  0.48  0.50  0.70  0.86  0.87  imU
NUPG_ECOLI  0.64  0.45  0.48  0.50  0.67  0.61  0.66  imU
PNTB_ECOLI  0.81  0.52  0.48  0.50  0.57  0.78  0.80  imU
PTKC_ECOLI  0.73  0.26  0.48  0.50  0.57  0.75  0.78  imU
RHAT_ECOLI  0.49  0.61  1.00  0.50  0.56  0.71  0.74  imU
SECD_ECOLI  0.88  0.42  0.48  0.50  0.52  0.73  0.75  imU
SECG_ECOLI  0.84  0.54  0.48  0.50  0.75  0.92  0.70  imU
TEHA_ECOLI  0.63  0.51  0.48  0.50  0.64  0.72  0.76  imU
TYRP_ECOLI  0.86  0.55  0.48  0.50  0.63  0.81  0.83  imU
UHPB_ECOLI  0.79  0.54  0.48  0.50  0.50  0.66  0.68  imU
TONB_ECOLI  0.57  0.38  0.48  0.50  0.06  0.49  0.33  imU
LEP_ECOLI   0.78  0.44  0.48  0.50  0.45  0.73  0.68  imU
FADL_ECOLI  0.78  0.68  0.48  0.50  0.83  0.40  0.29   om
FHUA_ECOLI  0.63  0.69  0.48  0.50  0.65  0.41  0.28   om
LAMB_ECOLI  0.67  0.88  0.48  0.50  0.73  0.50  0.25   om
NFRA_ECOLI  0.61  0.75  0.48  0.50  0.51  0.33  0.33   om
NMPC_ECOLI  0.67  0.84  0.48  0.50  0.74  0.54  0.37   om
OMPA_ECOLI  0.74  0.90  0.48  0.50  0.57  0.53  0.29   om
OMPC_ECOLI  0.73  0.84  0.48  0.50  0.86  0.58  0.29   om
OMPF_ECOLI  0.75  0.76  0.48  0.50  0.83  0.57  0.30   om
OMPX_ECOLI  0.77  0.57  0.48  0.50  0.88  0.53  0.20   om
PHOE_ECOLI  0.74  0.78  0.48  0.50  0.75  0.54  0.15   om
TSX_ECOLI   0.68  0.76  0.48  0.50  0.84  0.45  0.27   om
OMPP_ECOLI  0.69  0.59  0.48  0.50  0.77  0.39  0.21   om
OMPT_ECOLI  0.63  0.49  0.48  0.50  0.79  0.45  0.28   om
TOLC_ECOLI  0.71  0.71  0.48  0.50  0.68  0.43  0.36   om
PA1_ECOLI   0.68  0.63  0.48  0.50  0.73  0.40  0.30   om
DGAL_ECOLI  0.63  1.00  0.48  0.50  0.35  0.51  0.49   pp
DPPA_ECOLI  0.57  0.59  0.48  0.50  0.39  0.47  0.33   pp
DSBA_ECOLI  0.71  0.71  0.48  0.50  0.40  0.54  0.39   pp
DSBC_ECOLI  0.66  0.74  0.48  0.50  0.31  0.38  0.43   pp
ECOT_ECOLI  0.67  0.81  0.48  0.50  0.25  0.42  0.25   pp
ECPD_ECOLI  0.64  0.72  0.48  0.50  0.49  0.42  0.19   pp
FECB_ECOLI  0.68  0.82  0.48  0.50  0.38  0.65  0.56   pp
FECR_ECOLI  0.32  0.39  0.48  0.50  0.53  0.28  0.38   pp
FEPB_ECOLI  0.70  0.64  0.48  0.50  0.47  0.51  0.47   pp
FIMC_ECOLI  0.63  0.57  0.48  0.50  0.49  0.70  0.20   pp
GGT_ECOLI   0.74  0.82  0.48  0.50  0.49  0.49  0.41   pp
GLNH_ECOLI  0.63  0.86  0.48  0.50  0.39  0.47  0.34   pp
GLPQ_ECOLI  0.63  0.83  0.48  0.50  0.40  0.39  0.19   pp
HTRA_ECOLI  0.63  0.71  0.48  0.50  0.60  0.40  0.39   pp
LIVJ_ECOLI  0.71  0.86  0.48  0.50  0.40  0.54  0.32   pp
LIVK_ECOLI  0.68  0.78  0.48  0.50  0.43  0.44  0.42   pp
MALE_ECOLI  0.64  0.84  0.48  0.50  0.37  0.45  0.40   pp
